nitrogen,phosphorus,potassium,crop_type,soil_type,crop_type_enc,soil_type_enc,n_deficiency,p_deficiency,k_deficiency,recommended_fertilizer,quantity_kg_per_acre
190.6,74.5,91.8,Millets,Saline,6,3,3,3,3,NPK_Complex,38.9
97.3,36.7,25.7,Millets,Sandy,6,2,3,2,1,MOP,24.8
147.2,94.2,5.1,Sugarcane,Clayey,4,1,3,3,1,MOP,29.9
126.2,5.7,8.3,Wheat,Saline,0,3,3,1,1,SSP,81.0
18.9,97.5,38.8,Millets,Clayey,6,1,1,3,2,Urea,43.6
82.7,98.4,72.7,Barley,Sandy,5,2,3,3,3,Urea,64.3
22.4,95.1,145.0,Sugarcane,Loamy,4,0,1,3,3,Urea,72.3
28.6,70.0,68.8,Wheat,Clayey,0,1,1,3,3,Urea,44.9
16.5,91.4,42.5,Sugarcane,Saline,4,3,1,3,2,Urea,66.5
108.8,56.9,31.8,Rice,Clayey,1,1,3,3,2,NPK_Complex,46.8
85.1,93.0,110.5,Cotton,Clayey,3,1,3,3,3,NPK_Complex,31.8
18.6,35.9,61.4,Millets,Saline,6,3,1,2,3,Urea,50.9
77.8,31.7,83.7,Sugarcane,Saline,4,3,3,2,3,Urea,51.9
13.0,45.2,62.3,Sugarcane,Loamy,4,0,1,3,3,Urea,51.7
47.8,72.6,119.6,Millets,Sandy,6,2,2,3,3,NPK_Complex,42.1
133.7,91.9,128.3,Rice,Sandy,1,2,3,3,3,Organic_Compost,299.3
69.1,35.9,110.8,Pulses,Sandy,7,2,2,2,3,NPK_Complex,42.8
99.7,16.4,108.4,Maize,Sandy,2,2,3,1,3,SSP,90.4
156.5,51.9,80.8,Rice,Sandy,1,2,3,3,3,NPK_Complex,32.2
48.3,90.1,73.9,Cotton,Loamy,3,0,2,3,3,NPK_Complex,41.3
36.5,62.4,83.3,Cotton,Clayey,3,1,1,3,3,Urea,48.1
123.8,71.0,132.7,Sugarcane,Saline,4,3,3,3,3,DAP,54.2
175.6,81.3,32.1,Wheat,Loamy,0,0,3,3,2,DAP,56.5
33.2,38.8,136.5,Pulses,Clayey,7,1,1,2,3,Urea,50.9
10.1,38.5,49.2,Maize,Clayey,2,1,1,2,2,Urea,46.6
102.1,70.8,44.1,Maize,Loamy,2,0,3,3,2,Organic_Compost,482.9
108.6,71.8,57.7,Barley,Saline,5,3,3,3,2,Urea,50.2
142.3,72.7,26.5,Cotton,Clayey,3,1,3,3,1,MOP,30.0
195.6,44.0,9.8,Maize,Loamy,2,0,3,3,1,MOP,20.2
139.3,55.4,69.9,Wheat,Sandy,0,2,3,3,3,DAP,37.3
154.7,27.6,110.6,Cotton,Sandy,3,2,3,2,3,Organic_Compost,341.1
85.8,82.6,120.8,Rice,Clayey,1,1,3,3,3,Urea,52.8
17.7,61.1,103.2,Barley,Saline,5,3,1,3,3,Urea,40.7
53.0,66.3,30.3,Maize,Sandy,2,2,2,3,2,NPK_Complex,43.8
188.0,18.1,54.5,Pulses,Sandy,7,2,3,1,2,SSP,64.5
176.7,29.5,100.7,Millets,Sandy,6,2,3,2,3,DAP,59.5
59.6,99.6,145.0,Cotton,Saline,3,3,2,3,3,NPK_Complex,41.2
45.9,31.5,106.6,Pulses,Sandy,7,2,2,2,3,NPK_Complex,46.9
86.9,89.3,128.4,Cotton,Saline,3,3,3,3,3,Urea,46.5
125.2,5.9,19.7,Barley,Saline,5,3,3,1,1,SSP,86.5
40.6,57.1,105.3,Sugarcane,Clayey,4,1,2,3,3,NPK_Complex,43.0
145.3,27.5,52.2,Wheat,Saline,0,3,3,2,2,Organic_Compost,309.9
147.0,34.3,83.7,Pulses,Sandy,7,2,3,2,3,NPK_Complex,37.4
56.4,97.4,62.0,Millets,Clayey,6,1,2,3,3,NPK_Complex,47.8
161.0,52.8,88.7,Maize,Sandy,2,2,3,3,3,Organic_Compost,459.3
104.8,59.3,116.4,Cotton,Loamy,3,0,3,3,3,Organic_Compost,253.1
191.2,91.9,58.7,Cotton,Clayey,3,1,3,3,2,Urea,78.1
115.0,59.4,147.1,Sugarcane,Loamy,4,0,3,3,3,Organic_Compost,288.3
171.7,35.1,29.6,Sugarcane,Saline,4,3,3,2,1,MOP,23.4
142.2,59.2,19.1,Millets,Clayey,6,1,3,3,1,MOP,24.2
36.6,54.2,132.2,Barley,Sandy,5,2,1,3,3,Urea,69.6
143.5,39.2,47.6,Wheat,Loamy,0,0,3,2,2,NPK_Complex,38.4
126.2,12.8,5.8,Rice,Loamy,1,0,3,1,1,SSP,85.1
23.5,42.7,12.4,Cotton,Loamy,3,0,1,3,1,Urea,75.5
