Previous Crop,Soil Type,Moisture Level,Nitrogen (N),Phosphorus (P),Potassium (K),Recommended Crop
Rice,Loamy,65,40,30,20,Chickpea
Rice,Clayey,70,35,25,18,Wheat
Wheat,Loamy,50,80,40,35,Soybean
Wheat,Sandy,45,75,38,30,Mustard
Maize,Loamy,55,60,35,28,Chickpea
Maize,Clayey,60,55,32,25,Wheat
Cotton,Loamy,50,50,28,22,Wheat
Cotton,Sandy,45,45,25,20,Chickpea
Groundnut,Loamy,55,30,20,15,Wheat
Groundnut,Clayey,60,28,18,14,Maize
Sorghum,Loamy,50,55,30,25,Chickpea
Sorghum,Sandy,45,50,28,22,Mustard
Barley,Loamy,48,70,35,30,Mustard
Barley,Clayey,52,65,32,28,Soybean
Millets,Sandy,40,45,22,18,Wheat
Millets,Loamy,50,48,25,20,Chickpea
Rice,Saline,60,38,28,16,Mustard
Wheat,Saline,42,72,36,32,Sorghum
Maize,Sandy,50,58,33,26,Mustard
Cotton,Clayey,55,48,27,21,Soybean
Groundnut,Sandy,48,25,16,12,Millets
Sorghum,Clayey,58,52,29,24,Wheat
Barley,Sandy,44,68,33,29,Chickpea
Millets,Clayey,52,46,24,19,Soybean
Rice,Loamy,68,42,32,22,Wheat
Wheat,Loamy,52,82,42,37,Maize
Maize,Loamy,57,62,37,30,Soybean
Cotton,Loamy,52,52,30,24,Mustard
Groundnut,Loamy,57,32,22,17,Sorghum
Sorghum,Loamy,52,57,32,27,Maize
